segment_id,description
SEG-001,First-time homebuyers researching mortgages and down payments
SEG-002,Homeowners comparing refinance rates and loan terms
SEG-003,Renters searching for apartments in urban areas
SEG-004,Real estate investors looking for rental properties
SEG-005,Small business owners seeking accounting and payroll tools
SEG-006,Startup founders evaluating business banking options
SEG-007,Frequent travelers booking flights and hotel loyalty stays
SEG-008,Family vacation planners comparing all-inclusive resorts
SEG-009,Budget travelers hunting for discount fares and deals
SEG-010,Business travelers looking for flexible booking policies
SEG-011,Car shoppers comparing midsize SUVs and safety ratings
SEG-012,EV intenders researching charging networks and incentives
SEG-013,Used car buyers checking vehicle history and pricing
SEG-014,Auto enthusiasts shopping performance parts and upgrades
SEG-015,New parents buying baby gear and nursery essentials
SEG-016,Parents of toddlers looking for educational toys
SEG-017,College-bound students comparing tuition and scholarships
SEG-018,Online learners exploring certificate and bootcamp programs
SEG-019,Remote workers improving home office setups
SEG-020,IT managers evaluating cloud security platforms
SEG-021,Software developers choosing new productivity tools
SEG-022,Gamers upgrading PCs and peripherals
SEG-023,Smart home shoppers comparing devices and ecosystems
SEG-024,Premium smartphone buyers upgrading to flagship models
SEG-025,Pet owners shopping for premium pet food and insurance
SEG-026,Fitness beginners starting gym memberships
SEG-027,Endurance athletes training for long-distance events
SEG-028,Wellness seekers interested in meditation and sleep apps
SEG-029,Health-conscious shoppers buying organic groceries
SEG-030,Gluten-free and allergy-aware consumers seeking safe foods
SEG-031,Beauty enthusiasts exploring skincare routines
SEG-032,Salon regulars booking hair and spa services
SEG-033,Fashion shoppers following seasonal trends
SEG-034,Luxury buyers browsing designer handbags and watches
SEG-035,DIY homeowners purchasing tools and renovation supplies
SEG-036,Home decor shoppers updating living spaces
SEG-037,Outdoor recreation buyers shopping bikes and camping gear
SEG-038,Foodies booking restaurant reservations for special occasions
SEG-039,Meal kit subscribers looking for quick weeknight dinners
SEG-040,Coffee aficionados seeking specialty beans and brewers
SEG-041,Entertainment streamers subscribing to video services
SEG-042,Live sports fans purchasing tickets and team merch
SEG-043,Music lovers attending concerts and festivals
SEG-044,Book readers buying new releases and audiobooks
SEG-045,Philanthropy-minded donors supporting nonprofits
SEG-046,Insurance shoppers comparing auto and home policies
SEG-047,Investors researching retirement and index fund options
SEG-048,Crypto-curious consumers exploring beginner exchanges
SEG-049,Job seekers updating resumes and applying online
SEG-050,Career switchers pursuing professional certifications
